mass	S1	S2	S3
97.03106	122629.0		106352.0
97.17744	282053.0	353422.0	399110.0
97.857465		105100.0	144435.0
98.14681	233490.0	263816.0	259839.0
98.73503	155770.0		201957.0
99.20475333333333	861252.0	733157.0	626267.0
99.20628333333333	746952.0	700851.0	685801.0
100.21528	128331.0	130788.0	98134.0
100.21677666666666	224510.0	276487.0	201667.0
100.21834000000001	456880.0	615522.0	394588.0
100.71735	104667.0	99966.0	0
100.98636	114029.0		111206.0
101.019225	145854.0		159896.0
